Algorithm,Resolution,Map,Agents,Total Time,Number Solved Scenarios,Average Time
CBS,2,empty-16-16,34,15.23988,3,5.07996
CBS,2,empty-16-16,36,22.399679999999996,2,11.199839999999998
CBS,2,empty-16-16,38,19.7698,1,19.7698
CBS,2,empty-32-32,2,0.0,20,0.0
CBS,2,empty-32-32,4,0.020111,20,0.00100555
CBS,2,empty-32-32,6,0.32004200000000005,20,0.016002100000000002
CBS,2,empty-32-32,8,0.450082,20,0.0225041
CBS,2,empty-32-32,10,1.140208,20,0.0570104
CBS,2,empty-32-32,12,3.4000350000000004,19,0.17894921052631582
CBS,2,empty-32-32,14,4.779969,19,0.2515773157894737
CBS,2,empty-32-32,16,8.489080999999999,19,0.4467937368421052
CBS,2,empty-32-32,18,18.569975,18,1.0316652777777777
CBS,2,empty-32-32,20,27.705118,18,1.539173222222222
CBS,2,empty-32-32,22,44.755858999999994,18,2.486436611111111
CBS,2,empty-32-32,24,59.209388999999994,18,3.2894105
CBS,2,empty-32-32,26,114.50119699999999,18,6.361177611111111
CBS,2,empty-32-32,28,140.39340900000002,17,8.258435823529412
CBS,2,empty-32-32,30,62.937886,12,5.244823833333333
CBS,2,empty-32-32,32,112.61613,12,9.3846775
CBS,2,empty-32-32,34,153.32569999999998,12,12.777141666666665
CBS,2,empty-32-32,36,257.69033,12,21.474194166666667
CBS,2,empty-32-32,38,284.24044,12,23.68670333333333
CBS,2,empty-32-32,40,250.76892999999998,10,25.076893
CBS,2,empty-32-32,42,296.629,9,32.95877777777778
CBS,2,empty-32-32,44,212.7862,6,35.46436666666667
CBS,2,empty-32-32,46,122.1953,4,30.548825
CBS,2,empty-32-32,48,116.74100000000001,3,38.91366666666667
CBS,2,empty-32-32,50,132.4106,3,44.13686666666666
CBS,2,empty-48-48,2,0.0,20,0.0
CBS,2,empty-48-48,4,0.249868,20,0.0124934
CBS,2,empty-48-48,6,0.409933,20,0.020496649999999998
CBS,2,empty-48-48,8,3.849962,20,0.1924981
CBS,2,empty-48-48,10,13.346943999999999,20,0.6673471999999999
CBS,2,empty-48-48,12,24.095697,20,1.20478485
CBS,2,empty-48-48,14,20.366892999999997,20,1.01834465
CBS,2,empty-48-48,16,25.237051,20,1.26185255
CBS,2,empty-48-48,18,30.962187,19,1.6295887894736842
CBS,2,empty-48-48,20,49.417599,19,2.600926263157895
CBS,2,empty-48-48,22,62.93239300000001,19,3.3122312105263165
CBS,2,empty-48-48,24,64.556694,17,3.7974525882352936
CBS,2,empty-48-48,26,97.824549,16,6.1140343125
CBS,2,empty-48-48,28,105.41047899999998,16,6.588154937499999
CBS,2,empty-48-48,30,128.758194,16,8.047387125
CBS,2,empty-48-48,32,185.78100999999998,16,11.611313124999999
CBS,2,empty-48-48,34,171.550118,15,11.436674533333333
CBS,2,empty-48-48,36,203.36335,13,15.643334615384616
CBS,2,empty-48-48,38,207.61765099999997,12,17.301470916666663
CBS,2,empty-48-48,40,197.922836,10,19.792283599999998
CBS,2,empty-48-48,42,176.20873,9,19.578747777777778
CBS,2,empty-48-48,44,92.59342,5,18.518684
CBS,2,empty-48-48,46,24.93978,2,12.46989
CBS,2,empty-48-48,48,47.0588,2,23.5294
CBS,2,empty-48-48,50,26.5281,1,26.5281
CBS,2,empty-48-48,52,27.628,1,27.628
CBS,2,random-32-32-10,2,0.01996,20,0.000998
CBS,2,random-32-32-10,4,0.139903,20,0.00699515
CBS,2,random-32-32-10,6,0.229991,20,0.01149955
CBS,2,random-32-32-10,8,1.030045,18,0.057224722222222225
CBS,2,random-32-32-10,10,1.4699119999999997,18,0.08166177777777776
CBS,2,random-32-32-10,12,3.0800859999999997,18,0.17111588888888887
CBS,2,random-32-32-10,14,4.129919999999999,17,0.24293647058823525
CBS,2,random-32-32-10,16,20.145768,16,1.2591105
CBS,2,random-32-32-10,18,28.304824999999997,16,1.7690515624999998
CBS,2,random-32-32-10,20,20.037844,15,1.3358562666666667
CBS,2,random-32-32-10,22,25.33615,15,1.6890766666666666
CBS,2,random-32-32-10,24,40.532221,14,2.895158642857143
CBS,2,random-32-32-10,26,19.801848,10,1.9801848
CBS,2,random-32-32-10,28,28.18752,8,3.52344
CBS,2,random-32-32-10,30,32.66002,6,5.443336666666667
CBS,2,random-32-32-10,32,34.94968,4,8.73742
CBS,2,random-32-32-10,34,78.12603,4,19.5315075
CBS,2,random-32-32-10,36,52.01202,3,17.33734
CBS,2,random-32-32-10,38,60.3751,3,20.125033333333334
CBS,2,random-32-32-10,40,86.95867000000001,3,28.98622333333334
CBS,2,random-32-32-10,42,114.36890000000001,3,38.12296666666667
CBS,2,random-32-32-10,44,115.626,3,38.542
CBS,2,random-32-32-20,2,0.089819,20,0.00449095
CBS,2,random-32-32-20,4,0.37981400000000004,20,0.018990700000000003
CBS,2,random-32-32-20,6,0.45009600000000005,20,0.022504800000000002
CBS,2,random-32-32-20,8,4.480040000000001,20,0.22400200000000003
CBS,2,random-32-32-20,10,2.349784,19,0.12367284210526316
CBS,2,random-32-32-20,12,44.14984600000001,19,2.3236761052631585
CBS,2,random-32-32-20,14,16.980633,16,1.0612895625
CBS,2,random-32-32-20,16,63.606318,15,4.2404212
CBS,2,random-32-32-20,18,136.25357899999997,13,10.481044538461536
CBS,2,random-32-32-20,20,147.15624599999998,12,12.263020499999998
CBS,2,random-32-32-20,22,60.883701,9,6.764855666666667
CBS,2,random-32-32-20,24,119.659009,7,17.094144142857143
CBS,2,random-32-32-20,26,22.0428,4,5.5107
CBS,2,random-32-32-20,28,7.71994,3,2.5733133333333336
CBS,2,random-32-32-20,30,17.09991,3,5.69997
CBS,2,random-32-32-20,32,15.58987,3,5.196623333333333
CBS,2,random-32-32-20,34,18.15562,3,6.051873333333333
CBS,2,random-32-32-20,36,38.35289,2,19.176445
CBS,2,random-32-32-20,38,17.9599,1,17.9599
CBS,2,random-64-64-10,2,0.050098000000000004,20,0.0025049
CBS,2,random-64-64-10,4,0.10000600000000001,20,0.005000300000000001
CBS,2,random-64-64-10,6,1.4597230000000005,19,0.0768275263157895
CBS,2,random-64-64-10,8,1.6201179999999997,19,0.08526936842105262
CBS,2,random-64-64-10,10,5.659912,19,0.2978901052631579
CBS,2,random-64-64-10,12,13.519442999999997,19,0.7115496315789472
CBS,2,random-64-64-10,14,14.683412000000002,19,0.772811157894737
CBS,2,random-64-64-10,16,23.30388,19,1.22652
CBS,2,random-64-64-10,18,35.283155,19,1.8570081578947368
CBS,2,random-64-64-10,20,41.70212899999999,19,2.194848894736842
CBS,2,random-64-64-10,22,52.02357899999999,18,2.890198833333333
CBS,2,random-64-64-10,24,65.214684,17,3.8361578823529414
CBS,2,random-64-64-10,26,79.952308,17,4.70307694117647
CBS,2,random-64-64-10,28,80.38124299999998,16,5.023827687499999
CBS,2,random-64-64-10,30,88.383462,15,5.892230799999999
CBS,2,random-64-64-10,32,67.16188600000001,14,4.797277571428572
CBS,2,random-64-64-10,34,99.91555,14,7.136825
CBS,2,random-64-64-10,36,109.69797,13,8.438305384615385
CBS,2,random-64-64-10,38,153.77414000000002,14,10.983867142857145
CBS,2,random-64-64-10,40,159.12863,12,13.260719166666666
CBS,2,random-64-64-10,42,217.52559999999997,10,21.752559999999995
CBS,2,random-64-64-10,44,191.92958999999996,10,19.192958999999995
CBS,2,random-64-64-10,46,215.70365999999999,9,23.96707333333333
CBS,2,random-64-64-10,48,189.255,7,27.03642857142857
CBS,2,random-64-64-10,50,167.7045,4,41.926125
CBS,2,random-64-64-10,52,91.97900000000001,3,30.65966666666667
CBS,2,random-64-64-10,54,37.0698,1,37.0698
CBS,2,random-64-64-10,56,35.0098,1,35.0098
CBS,2,random-64-64-20,2,0.160036,20,0.0080018
CBS,2,random-64-64-20,4,0.679999,20,0.03399995
CBS,2,random-64-64-20,6,1.729974,20,0.0864987
CBS,2,random-64-64-20,8,3.1101830000000006,20,0.15550915000000004
CBS,2,random-64-64-20,10,9.480307,19,0.49896352631578944
CBS,2,random-64-64-20,12,17.294867999999997,19,0.9102562105263157
CBS,2,random-64-64-20,14,80.91398300000002,19,4.2586306842105275
CBS,2,random-64-64-20,16,111.87846800000001,18,6.2154704444444455
CBS,2,random-64-64-20,18,143.39028599999997,17,8.43472270588235
CBS,2,random-64-64-20,20,130.46126900000002,16,8.153829312500001
CBS,2,random-64-64-20,22,94.43831499999999,14,6.745593928571428
CBS,2,random-64-64-20,24,36.409529,12,3.0341274166666667
CBS,2,random-64-64-20,26,50.404958,12,4.200413166666666
CBS,2,random-64-64-20,28,75.71154,10,7.571154
CBS,2,random-64-64-20,30,77.9357,8,9.7419625
CBS,2,random-64-64-20,32,84.97133000000001,6,14.161888333333335
CBS,2,random-64-64-20,34,52.75814,5,10.551628
CBS,2,random-64-64-20,36,111.6856,5,22.33712
CBS,2,random-64-64-20,38,58.36147,4,14.5903675
CBS,2,random-64-64-20,40,110.36298,4,27.590745
CBS,2,random-64-64-20,42,49.6051,2,24.80255
CBS,2,random-64-64-20,44,26.5778,1,26.5778
CBS,2,room-32-32-4,2,0.48986599999999997,20,0.0244933
CBS,2,room-32-32-4,4,4.139208999999999,20,0.20696044999999996
CBS,2,room-32-32-4,6,61.19545399999999,19,3.220813368421052
CBS,2,room-32-32-4,8,7.319863999999999,15,0.48799093333333327
CBS,2,room-32-32-4,10,46.146354,14,3.296168142857143
CBS,2,room-32-32-4,12,10.927449999999997,10,1.0927449999999996
CBS,2,room-32-32-4,14,48.42970700000001,9,5.381078555555557
CBS,2,room-32-32-4,16,40.239827,6,6.706637833333333
CBS,2,room-32-32-4,18,33.91965,2,16.959825
CBS,2,room-64-64-8,2,9.628492,20,0.4814246
CBS,2,room-64-64-8,4,21.378389999999996,20,1.0689194999999998
CBS,2,room-64-64-8,6,103.14660700000002,18,5.730367055555557
