Algorithm,Resolution,Map,Scenario,Num Agents,Flowtime,Time
CBS,1,empty-16-16,18,8,184.0,0.0
CBS,1,empty-16-16,19,8,190.0,0.0
CBS,1,empty-16-16,20,8,168.0,0.0
CBS,1,empty-16-16,1,10,204.0,0.010046
CBS,1,empty-16-16,2,10,220.0,0.005489
CBS,1,empty-16-16,3,10,258.0,0.019966
CBS,1,empty-16-16,4,10,270.0,0.0
CBS,1,empty-16-16,5,10,232.0,0.0
CBS,1,empty-16-16,6,10,256.0,0.019963
CBS,1,empty-16-16,7,10,202.0,0.004858
CBS,1,empty-16-16,8,10,218.0,0.006795
CBS,1,empty-16-16,9,10,196.0,0.019994
CBS,1,empty-16-16,10,10,270.0,0.003793
CBS,1,empty-16-16,11,10,134.0,0.005283
CBS,1,empty-16-16,12,10,186.0,0.0
CBS,1,empty-16-16,13,10,252.0,0.020027
CBS,1,empty-16-16,14,10,230.0,0.0
CBS,1,empty-16-16,15,10,188.0,0.0
CBS,1,empty-16-16,16,10,162.0,0.050024
CBS,1,empty-16-16,17,10,198.0,0.0
CBS,1,empty-16-16,18,10,232.0,0.0
CBS,1,empty-16-16,19,10,254.0,0.0
CBS,1,empty-16-16,20,10,220.0,0.010002
CBS,1,empty-16-16,1,12,228.0,0.0
CBS,1,empty-16-16,2,12,268.0,0.020012
CBS,1,empty-16-16,3,12,312.0,0.029943
CBS,1,empty-16-16,4,12,322.0,0.009934
CBS,1,empty-16-16,5,12,274.0,0.0
CBS,1,empty-16-16,6,12,304.0,0.021023
CBS,1,empty-16-16,7,12,230.0,0.003394
CBS,1,empty-16-16,8,12,242.0,0.03462
CBS,1,empty-16-16,9,12,244.0,0.020037
CBS,1,empty-16-16,10,12,308.0,0.010014
CBS,1,empty-16-16,11,12,200.0,0.020034
CBS,1,empty-16-16,12,12,206.0,0.009989
CBS,1,empty-16-16,13,12,322.0,0.049995
CBS,1,empty-16-16,14,12,272.0,0.0
CBS,1,empty-16-16,15,12,214.0,0.0
CBS,1,empty-16-16,16,12,184.0,0.109958
CBS,1,empty-16-16,17,12,250.0,0.009986
CBS,1,empty-16-16,18,12,272.0,0.0
CBS,1,empty-16-16,19,12,308.0,0.009992
CBS,1,empty-16-16,20,12,270.0,0.013813
CBS,1,empty-16-16,1,14,258.0,0.0019
CBS,1,empty-16-16,2,14,312.0,0.030019
CBS,1,empty-16-16,3,14,366.0,0.044904
CBS,1,empty-16-16,4,14,392.0,0.033283
CBS,1,empty-16-16,5,14,320.0,0.00997
CBS,1,empty-16-16,6,14,352.0,0.067672
CBS,1,empty-16-16,7,14,260.0,0.029804
CBS,1,empty-16-16,8,14,268.0,0.069958
CBS,1,empty-16-16,9,14,296.0,0.049872
CBS,1,empty-16-16,10,14,356.0,0.018626
CBS,1,empty-16-16,11,14,226.0,0.019937
CBS,1,empty-16-16,12,14,276.0,0.020084
CBS,1,empty-16-16,13,14,354.0,0.069977
CBS,1,empty-16-16,14,14,306.0,0.009986
CBS,1,empty-16-16,15,14,276.0,0.169839
CBS,1,empty-16-16,16,14,194.0,0.119955
CBS,1,empty-16-16,17,14,302.0,0.02122
CBS,1,empty-16-16,18,14,312.0,0.00999
CBS,1,empty-16-16,19,14,378.0,0.009991
CBS,1,empty-16-16,20,14,306.0,0.049966
CBS,1,empty-16-16,1,16,306.0,0.002964
CBS,1,empty-16-16,3,16,400.0,0.058054
CBS,1,empty-16-16,4,16,414.0,0.039996
CBS,1,empty-16-16,5,16,366.0,0.039959
CBS,1,empty-16-16,6,16,386.0,0.079808
CBS,1,empty-16-16,7,16,302.0,0.01998
CBS,1,empty-16-16,8,16,292.0,0.148598
CBS,1,empty-16-16,9,16,358.0,0.098326
CBS,1,empty-16-16,10,16,386.0,0.034452
CBS,1,empty-16-16,11,16,266.0,0.016582
CBS,1,empty-16-16,12,16,320.0,0.029994
CBS,1,empty-16-16,13,16,378.0,0.299948
CBS,1,empty-16-16,15,16,328.0,3.04994
CBS,1,empty-16-16,16,16,256.0,0.189956
CBS,1,empty-16-16,17,16,344.0,0.059955
CBS,1,empty-16-16,18,16,352.0,0.010023
CBS,1,empty-16-16,19,16,420.0,0.669955
CBS,1,empty-16-16,20,16,368.0,0.060031
CBS,1,empty-16-16,1,18,358.0,0.019956
CBS,1,empty-16-16,3,18,452.0,0.077808
CBS,1,empty-16-16,4,18,494.0,0.070001
CBS,1,empty-16-16,5,18,430.0,0.059992
CBS,1,empty-16-16,6,18,414.0,0.189925
CBS,1,empty-16-16,7,18,356.0,0.030009
CBS,1,empty-16-16,8,18,322.0,0.289922
CBS,1,empty-16-16,9,18,404.0,0.109991
CBS,1,empty-16-16,10,18,422.0,0.03967
CBS,1,empty-16-16,11,18,308.0,0.02999
CBS,1,empty-16-16,12,18,364.0,0.069999
CBS,1,empty-16-16,13,18,428.0,0.129962
CBS,1,empty-16-16,15,18,400.0,10.7998
CBS,1,empty-16-16,16,18,292.0,0.609905
CBS,1,empty-16-16,17,18,396.0,0.067494
CBS,1,empty-16-16,18,18,384.0,0.049994
CBS,1,empty-16-16,20,18,434.0,0.079949
CBS,1,empty-16-16,1,20,378.0,0.12651
CBS,1,empty-16-16,3,20,488.0,0.07993
CBS,1,empty-16-16,4,20,524.0,0.077132
CBS,1,empty-16-16,5,20,466.0,0.348546
CBS,1,empty-16-16,6,20,470.0,0.586844
CBS,1,empty-16-16,7,20,402.0,0.058377
CBS,1,empty-16-16,8,20,376.0,0.338656
CBS,1,empty-16-16,9,20,452.0,0.115353
CBS,1,empty-16-16,10,20,464.0,33.0359
CBS,1,empty-16-16,11,20,346.0,0.094126
CBS,1,empty-16-16,12,20,430.0,0.099985
CBS,1,empty-16-16,13,20,470.0,0.52995
CBS,1,empty-16-16,15,20,426.0,33.9776
CBS,1,empty-16-16,16,20,322.0,1.44
CBS,1,empty-16-16,18,20,442.0,0.184583
CBS,1,empty-16-16,20,20,480.0,0.133118
CBS,1,empty-16-16,1,22,416.0,0.447946
CBS,1,empty-16-16,3,22,528.0,0.249975
CBS,1,empty-16-16,4,22,548.0,0.067288
CBS,1,empty-16-16,5,22,532.0,0.6682
CBS,1,empty-16-16,7,22,434.0,0.097001
CBS,1,empty-16-16,8,22,412.0,0.339961
CBS,1,empty-16-16,9,22,482.0,0.709957
CBS,1,empty-16-16,11,22,400.0,0.140006
CBS,1,empty-16-16,12,22,482.0,0.15996
CBS,1,empty-16-16,13,22,506.0,1.03999
CBS,1,empty-16-16,15,22,486.0,39.6754
CBS,1,empty-16-16,16,22,384.0,12.105
CBS,1,empty-16-16,18,22,486.0,0.657998
CBS,1,empty-16-16,20,22,538.0,0.60808
CBS,1,empty-16-16,1,24,458.0,0.387958
CBS,1,empty-16-16,4,24,588.0,0.139978
CBS,1,empty-16-16,5,24,566.0,1.39447
CBS,1,empty-16-16,7,24,462.0,0.110001
CBS,1,empty-16-16,8,24,478.0,1.43462
CBS,1,empty-16-16,9,24,532.0,1.41153
CBS,1,empty-16-16,11,24,452.0,0.635671
CBS,1,empty-16-16,13,24,544.0,1.28996
CBS,1,empty-16-16,16,24,434.0,27.3521
CBS,1,empty-16-16,18,24,530.0,2.19137
CBS,1,empty-16-16,20,24,582.0,1.13996
CBS,1,empty-16-16,1,26,494.0,0.679957
CBS,1,empty-16-16,4,26,628.0,0.189962
CBS,1,empty-16-16,5,26,608.0,1.3507
CBS,1,empty-16-16,7,26,538.0,0.196971
CBS,1,empty-16-16,8,26,530.0,2.51378
CBS,1,empty-16-16,9,26,602.0,5.61529
CBS,1,empty-16-16,11,26,474.0,0.647117
CBS,1,empty-16-16,13,26,602.0,1.61747
CBS,1,empty-16-16,16,26,488.0,31.1391
CBS,1,empty-16-16,18,26,576.0,16.9398
CBS,1,empty-16-16,4,28,652.0,0.763936
CBS,1,empty-16-16,5,28,668.0,3.01655
CBS,1,empty-16-16,7,28,566.0,0.639946
CBS,1,empty-16-16,9,28,638.0,10.0897
CBS,1,empty-16-16,11,28,522.0,1.44173
CBS,1,empty-16-16,13,28,638.0,3.06993
CBS,1,empty-16-16,18,28,604.0,37.2022
CBS,1,empty-16-16,4,30,694.0,0.839287
CBS,1,empty-16-16,5,30,728.0,16.4232
CBS,1,empty-16-16,7,30,594.0,0.989372
CBS,1,empty-16-16,11,30,562.0,0.799899
CBS,1,empty-16-16,4,32,772.0,3.94636
CBS,1,empty-16-16,5,32,750.0,3.95727
CBS,1,empty-16-16,7,32,624.0,1.74557
CBS,1,empty-16-16,11,32,626.0,2.25823
CBS,1,empty-16-16,4,34,810.0,3.82993
CBS,1,empty-16-16,11,34,674.0,1.14582
CBS,1,empty-16-16,11,36,746.0,8.26993
CBS,1,empty-32-32,1,2,84.0,0.0
CBS,1,empty-32-32,2,2,62.0,0.0
CBS,1,empty-32-32,3,2,56.0,0.0
CBS,1,empty-32-32,4,2,76.0,0.0
CBS,1,empty-32-32,5,2,112.0,0.0
CBS,1,empty-32-32,6,2,76.0,0.0
CBS,1,empty-32-32,7,2,116.0,0.0
CBS,1,empty-32-32,8,2,34.0,0.0
CBS,1,empty-32-32,9,2,112.0,0.0
CBS,1,empty-32-32,10,2,72.0,0.0
CBS,1,empty-32-32,11,2,22.0,0.0
CBS,1,empty-32-32,12,2,88.0,0.0
CBS,1,empty-32-32,13,2,56.0,0.0
CBS,1,empty-32-32,14,2,120.0,0.0
CBS,1,empty-32-32,15,2,76.0,0.0
CBS,1,empty-32-32,16,2,66.0,0.0
CBS,1,empty-32-32,17,2,62.0,0.0
CBS,1,empty-32-32,18,2,142.0,0.0
CBS,1,empty-32-32,19,2,56.0,0.0
CBS,1,empty-32-32,20,2,72.0,0.0
CBS,1,empty-32-32,1,4,158.0,0.0
CBS,1,empty-32-32,2,4,150.0,0.010006
CBS,1,empty-32-32,3,4,94.0,0.0
CBS,1,empty-32-32,4,4,144.0,0.0
CBS,1,empty-32-32,5,4,196.0,0.0
CBS,1,empty-32-32,6,4,138.0,0.0
CBS,1,empty-32-32,7,4,160.0,0.0
CBS,1,empty-32-32,8,4,86.0,0.0
CBS,1,empty-32-32,9,4,194.0,0.0
CBS,1,empty-32-32,10,4,178.0,0.0
CBS,1,empty-32-32,11,4,148.0,0.0
CBS,1,empty-32-32,12,4,232.0,0.0
CBS,1,empty-32-32,13,4,146.0,0.0
CBS,1,empty-32-32,14,4,216.0,0.0
CBS,1,empty-32-32,15,4,168.0,0.010026
