map_name,resolution,scenario,algorithm,agents,time,cost,evaluated_nodes,total_nodes
empty-48-48,4,20,PBS,40,127.45,1063,19,37
empty-48-48,4,20,PBS,44,153.749,1209,24,47
empty-48-48,4,20,PBS,48,118.65,1296,28,55
empty-48-48,4,20,PBS,52,231.612,1375,39,77
empty-48-48,4,20,PBS,56,887.437,1578,125,247
empty-16-16,1,2,CBS,4,0.00165298,57,3,5
empty-16-16,1,2,CBS,8,0.00401011,95,6,11
empty-16-16,1,2,CBS,12,0.0364503,141,16,31
empty-32-32,1,8,CBS,4,0.000848058,55,1,1
empty-32-32,1,8,CBS,8,0.00275947,150,2,3
empty-32-32,1,8,CBS,12,0.00467567,251,2,3
empty-32-32,1,8,CBS,16,0.0119159,379,4,7
empty-32-32,1,8,CBS,20,0.105388,446,19,37
empty-32-32,1,8,CBS,24,21.3631,516,7856,15711
empty-32-32,1,8,CBS,28,25.4686,596,7887,15773
empty-32-32,1,8,CBS,32,16.8344,664,3934,7867
empty-32-32,1,8,CBS,36,36.8724,766,7945,15889
empty-32-32,1,8,CBS,40,46.8233,852,8193,16385
empty-32-32,1,8,CBS,44,199.853,967,27389,54777
empty-32-32,1,8,CBS,48,120.043,1033,15626,31251
empty-32-32,1,8,CBS,52,149.42,1115,16635,33269
empty-48-48,1,14,CBS,4,0.00236665,197,1,1
empty-48-48,1,14,CBS,8,0.00330986,308,1,1
empty-48-48,1,14,CBS,12,0.00590129,386,1,1
empty-48-48,1,14,CBS,16,0.103036,538,8,15
empty-48-48,1,14,CBS,20,0.0741219,663,11,21
empty-48-48,1,14,CBS,24,0.187867,791,22,43
empty-48-48,1,14,CBS,28,0.489095,917,62,123
empty-48-48,1,14,CBS,32,0.469105,1042,41,81
empty-48-48,1,14,CBS,36,1.66038,1124,135,269
empty-48-48,1,14,CBS,40,1.82841,1272,135,269
empty-48-48,1,14,CBS,44,3.99144,1441,287,573
empty-48-48,1,14,CBS,48,88.4101,1596,7887,15773
empty-48-48,1,14,CBS,52,192.031,1733,15720,31439
